date,oil_log_price,gold_log_price
1989-01-01,0.20103645991392494,-0.13611043781794407
1990-01-01,0.26493490580387213,0.005320976498532026
1991-01-01,-0.1702732182777802,-0.05710395860815698
1992-01-01,-0.036589447432291866,-0.05228441574059328
1993-01-01,-0.12733942237660179,0.045599745172381745
1994-01-01,-0.07000119020106865,0.0652088637146635
1995-01-01,0.07058890693852637,0.00039574264747699317
1996-01-01,0.1928418174681341,0.009151982621117938
1997-01-01,-0.07701918236118033,-0.15781316383013877
1998-01-01,-0.40389648033553804,-0.11828112704020288
1999-01-01,0.3384854349300652,-0.05374734181715901
2000-01-01,0.4707017095533166,0.0009465759043099098
2001-01-01,-0.1584632921409992,-0.029248240934875547
2002-01-01,0.021436614587834413,0.13440374116923248
2003-01-01,0.14363424810724768,0.15932208513258317
2004-01-01,0.2822949710579983,0.11842930320888367
2005-01-01,0.3550793171860338,0.08348805176505891
2006-01-01,0.1773615025357036,0.3064089237271048
2007-01-01,0.10591284928136879,0.14225327373163665
2008-01-01,0.2913335974020166,0.22406974988645256
2009-01-01,-0.4511602113432165,0.10989577983073939
2010-01-01,0.2542076940264737,0.23007266153965933
2011-01-01,0.33473009154666045,0.2479064246108642
2012-01-01,0.00332002637949369,0.06196201674454738
2013-01-01,-0.02788681550002714,-0.167908915380087
2014-01-01,-0.09248624161801366,-0.10909711181377535
2015-01-01,-0.6374380667596569,-0.08653754125181301
2016-01-01,-0.1814045461840732,0.07334222984220329
2017-01-01,0.215414399844017,0.006838916969047482
2018-01-01,0.2760686191218582,0.009235513363433867
2019-01-01,-0.10389754868717116,0.09269120280894239
2020-01-01,-0.4268428477154771,0.24002378256248935
2021-01-01,0.5239893159092288,0.01645749343214309
2022-01-01,0.3537211078134428,0.0005405208852931054
2023-01-01,-0.20175013337812864,0.07594020306140425
2024-01-01,-0.024171473101048946,0.20627014062970161
