time,i,j,correlation
0,0,0,1.0
0,0,1,-0.1700235571645821
0,0,2,-0.29536979467801666
0,0,3,-0.32560383699905887
0,1,0,-0.17002355716458206
0,1,1,1.0
0,1,2,-0.4348010478177109
0,1,3,0.62465614169424
0,2,0,-0.29536979467801666
0,2,1,-0.43480104781771084
0,2,2,1.0
0,2,3,0.3542079280808098
0,3,0,-0.3256038369990588
0,3,1,0.6246561416942399
0,3,2,0.3542079280808098
0,3,3,1.0
1,0,0,1.0
1,0,1,-0.280604168938343
1,0,2,-0.777292163389976
1,0,3,0.07552999922206928
1,1,0,-0.280604168938343
1,1,1,1.0
1,1,2,-0.1947776204524483
1,1,3,-0.17548361323002848
1,2,0,-0.777292163389976
1,2,1,-0.1947776204524483
1,2,2,0.9999999999999999
1,2,3,0.21754087824862467
1,3,0,0.07552999922206928
1,3,1,-0.17548361323002848
1,3,2,0.21754087824862464
1,3,3,1.0
2,0,0,1.0
2,0,1,0.0815545110816669
2,0,2,-0.5606208880006758
2,0,3,0.1873622136405817
2,1,0,0.08155451108166689
2,1,1,1.0
2,1,2,-0.6511154512305446
2,1,3,-0.24000030324763102
2,2,0,-0.5606208880006758
2,2,1,-0.6511154512305445
2,2,2,1.0
2,2,3,-0.10254541091016353
2,3,0,0.18736221364058173
2,3,1,-0.24000030324763102
2,3,2,-0.10254541091016353
2,3,3,0.9999999999999999
3,0,0,0.9999999999999999
3,0,1,0.0885074952742135
3,0,2,-0.802772815606957
3,0,3,-0.07434724460295189
3,1,0,0.0885074952742135
3,1,1,1.0
3,1,2,-0.5861937223974033
3,1,3,-0.25667513085745985
3,2,0,-0.8027728156069571
3,2,1,-0.5861937223974033
3,2,2,1.0
3,2,3,-0.015710004769499256
3,3,0,-0.07434724460295189
3,3,1,-0.25667513085745985
3,3,2,-0.015710004769499256
3,3,3,1.0
4,0,0,1.0
4,0,1,-0.2994359869676612
4,0,2,-0.3458062398098855
4,0,3,0.22434782438772358
4,1,0,-0.2994359869676612
4,1,1,1.0
4,1,2,-0.25672730891915385
4,1,3,0.10489619962059157
4,2,0,-0.34580623980988556
4,2,1,-0.25672730891915385
4,2,2,1.0
4,2,3,-0.8837119624658059
4,3,0,0.2243478243877236
4,3,1,0.10489619962059157
4,3,2,-0.883711962465806
4,3,3,1.0
5,0,0,0.9999999999999998
5,0,1,0.06252420789358036
5,0,2,-0.13291468403271778
5,0,3,0.25679873085120275
5,1,0,0.06252420789358036
5,1,1,1.0
5,1,2,0.4260387880119211
5,1,3,0.1888067123162433
5,2,0,-0.13291468403271778
5,2,1,0.42603878801192113
5,2,2,1.0
5,2,3,-0.7844554690001848
5,3,0,0.25679873085120275
5,3,1,0.18880671231624327
5,3,2,-0.7844554690001847
5,3,3,1.0
6,0,0,0.9999999999999999
6,0,1,0.5377300558886515
6,0,2,-0.46499924430099143
6,0,3,-0.7829521417304549
6,1,0,0.5377300558886515
6,1,1,1.0
6,1,2,-0.24059773905064102
6,1,3,0.07027070077199102
6,2,0,-0.46499924430099143
6,2,1,-0.24059773905064102
6,2,2,1.0
6,2,3,0.5550460763498722
6,3,0,-0.7829521417304549
6,3,1,0.07027070077199102
6,3,2,0.5550460763498724
6,3,3,1.0
7,0,0,1.0
7,0,1,0.6215917760839481
7,0,2,-0.5587864802919879
7,0,3,-0.8927845794169063
7,1,0,0.621591776083948
7,1,1,0.9999999999999998
7,1,2,-0.019285271789960708
7,1,3,-0.2065889527001885
7,2,0,-0.5587864802919879
7,2,1,-0.019285271789960704
7,2,2,1.0
7,2,3,0.7215748645519223
7,3,0,-0.8927845794169064
7,3,1,-0.20658895270018854
7,3,2,0.7215748645519223
7,3,3,0.9999999999999999
8,0,0,1.0
8,0,1,0.7577494119625481
8,0,2,-0.6145814649607568
8,0,3,-0.7202103202788385
8,1,0,0.7577494119625482
8,1,1,1.0
8,1,2,0.024201279219909267
8,1,3,-0.24268251975356644
8,2,0,-0.6145814649607569
8,2,1,0.024201279219909264
8,2,2,0.9999999999999998
8,2,3,0.7812612123711181
8,3,0,-0.7202103202788384
8,3,1,-0.24268251975356644
8,3,2,0.7812612123711182
8,3,3,0.9999999999999999
9,0,0,1.0
9,0,1,0.6244333574238675
9,0,2,-0.6275944013264808
9,0,3,-0.7060122345090334
9,1,0,0.6244333574238675
9,1,1,1.0
9,1,2,-0.20307574068378986
9,1,3,-0.2386382989073748
9,2,0,-0.6275944013264808
9,2,1,-0.20307574068378986
9,2,2,1.0
9,2,3,0.8133758988767136
9,3,0,-0.7060122345090334
9,3,1,-0.2386382989073748
9,3,2,0.8133758988767137
9,3,3,0.9999999999999999
10,0,0,0.9999999999999999
10,0,1,0.31325009298317447
10,0,2,-0.7080227164541781
10,0,3,-0.7480784969843751
10,1,0,0.31325009298317447
10,1,1,1.0
10,1,2,-0.7542925845482537
10,1,3,-0.08297067449638489
10,2,0,-0.7080227164541781
10,2,1,-0.7542925845482537
10,2,2,1.0
10,2,3,0.6734550431190813
10,3,0,-0.748078496984375
10,3,1,-0.08297067449638489
10,3,2,0.6734550431190812
10,3,3,1.0
11,0,0,0.9999999999999999
11,0,1,-0.2306163459135229
11,0,2,0.04758467196076739
11,0,3,-0.4661342280571599
11,1,0,-0.23061634591352287
11,1,1,1.0
11,1,2,-0.7784205113216729
11,1,3,0.5961023719006526
11,2,0,0.0475846719607674
11,2,1,-0.778420511321673
11,2,2,1.0
11,2,3,-0.14940423276783946
11,3,0,-0.46613422805715987
11,3,1,0.5961023719006525
11,3,2,-0.14940423276783946
11,3,3,0.9999999999999998
12,0,0,1.0
12,0,1,0.06562390364646119
12,0,2,-0.20483100211875985
12,0,3,-0.26957765865841327
12,1,0,0.06562390364646119
12,1,1,0.9999999999999999
12,1,2,-0.7874174386684996
12,1,3,0.29276140710510445
12,2,0,-0.20483100211875985
12,2,1,-0.7874174386684996
12,2,2,1.0
12,2,3,0.2641636384529967
12,3,0,-0.26957765865841327
12,3,1,0.29276140710510445
12,3,2,0.2641636384529967
12,3,3,0.9999999999999999
13,0,0,1.0
13,0,1,0.5550477320143709
13,0,2,-0.8635549001631305
13,0,3,0.2959280281763464
13,1,0,0.5550477320143707
13,1,1,0.9999999999999998
13,1,2,-0.6588652107772561
13,1,3,0.09854421502812982
13,2,0,-0.8635549001631306
13,2,1,-0.6588652107772561
13,2,2,1.0
13,2,3,0.17113000251529734
13,3,0,0.2959280281763464
13,3,1,0.09854421502812982
13,3,2,0.17113000251529734
13,3,3,1.0
14,0,0,1.0
14,0,1,-0.32387137074585937
14,0,2,-0.6107646913620266
14,0,3,-0.051648670052593
14,1,0,-0.32387137074585937
14,1,1,1.0
14,1,2,0.5584419436638054
14,1,3,0.585074799625566
14,2,0,-0.6107646913620266
14,2,1,0.5584419436638054
14,2,2,0.9999999999999998
14,2,3,0.7955146238524735
14,3,0,-0.051648670052593
14,3,1,0.585074799625566
14,3,2,0.7955146238524734
14,3,3,0.9999999999999998
15,0,0,0.9999999999999999
15,0,1,-0.4857133925079186
15,0,2,0.35207321081551674
15,0,3,0.07327065565090679
15,1,0,-0.4857133925079186
15,1,1,0.9999999999999999
15,1,2,0.6110774165754224
15,1,3,0.6187276413242327
15,2,0,0.3520732108155167
15,2,1,0.6110774165754224
15,2,2,1.0
15,2,3,0.5194686897047303
15,3,0,0.07327065565090678
15,3,1,0.6187276413242327
15,3,2,0.5194686897047303
15,3,3,1.0
16,0,0,1.0
16,0,1,-0.40970150970643515
16,0,2,0.4183656330139146
16,0,3,-0.10108044643566404
16,1,0,-0.40970150970643515
16,1,1,1.0
16,1,2,0.6408147142599004
16,1,3,0.846809875285515
16,2,0,0.4183656330139146
16,2,1,0.6408147142599004
16,2,2,1.0
16,2,3,0.7358249416887134
16,3,0,-0.10108044643566404
16,3,1,0.8468098752855151
16,3,2,0.7358249416887134
16,3,3,0.9999999999999999
17,0,0,1.0
17,0,1,-0.19382189770747946
17,0,2,0.5048670501543653
17,0,3,-0.3364569619889503
17,1,0,-0.19382189770747946
17,1,1,1.0
17,1,2,0.6674055971805939
17,1,3,0.09266330748362113
17,2,0,0.5048670501543653
17,2,1,0.6674055971805939
17,2,2,0.9999999999999998
17,2,3,0.16275432234801404
17,3,0,-0.3364569619889503
17,3,1,0.09266330748362112
17,3,2,0.16275432234801407
17,3,3,1.0
18,0,0,0.9999999999999999
18,0,1,0.7455004943408585
18,0,2,-0.21846484936630328
18,0,3,-0.2291033443012063
18,1,0,0.7455004943408585
18,1,1,0.9999999999999999
18,1,2,-0.2688745749443031
18,1,3,0.18418433700689543
18,2,0,-0.21846484936630325
18,2,1,-0.2688745749443031
18,2,2,0.9999999999999999
18,2,3,0.05472226786944675
18,3,0,-0.2291033443012063
18,3,1,0.18418433700689546
18,3,2,0.05472226786944675
18,3,3,1.0
19,0,0,0.9999999999999998
19,0,1,0.8712288264930711
19,0,2,-0.26278035548855316
19,0,3,-0.24294417173090777
19,1,0,0.8712288264930711
19,1,1,0.9999999999999999
19,1,2,-0.28213211652645886
19,1,3,-0.15542972557803728
19,2,0,-0.2627803554885532
19,2,1,-0.28213211652645886
19,2,2,1.0
19,2,3,0.07987133913116222
19,3,0,-0.2429441717309077
19,3,1,-0.15542972557803728
19,3,2,0.07987133913116222
19,3,3,0.9999999999999999
20,0,0,0.9999999999999999
20,0,1,0.9245489395877274
20,0,2,-0.724247646242514
20,0,3,0.2570799682702912
20,1,0,0.9245489395877273
20,1,1,1.0
20,1,2,-0.41829058323386314
20,1,3,0.23116796486625918
20,2,0,-0.724247646242514
20,2,1,-0.41829058323386314
20,2,2,0.9999999999999999
20,2,3,-0.003709040429701427
20,3,0,0.2570799682702912
20,3,1,0.23116796486625918
20,3,2,-0.003709040429701427
20,3,3,1.0
21,0,0,1.0
21,0,1,0.6361293484861525
21,0,2,0.2374998494626667
21,0,3,0.1338297422921099
21,1,0,0.6361293484861527
21,1,1,1.0
21,1,2,-0.11704255901481875
21,1,3,-0.104856499864929
21,2,0,0.23749984946266667
21,2,1,-0.11704255901481873
21,2,2,1.0
21,2,3,0.33928215532998424
21,3,0,0.1338297422921099
21,3,1,-0.104856499864929
21,3,2,0.33928215532998424
21,3,3,1.0
22,0,0,1.0
22,0,1,0.12596251388820104
22,0,2,0.808187323080269
22,0,3,0.43292643120893975
22,1,0,0.125962513888201
22,1,1,1.0
22,1,2,0.3596414606223796
22,1,3,0.39556623538309416
22,2,0,0.8081873230802691
22,2,1,0.3596414606223796
22,2,2,1.0
22,2,3,0.1755537857322502
22,3,0,0.43292643120893975
22,3,1,0.39556623538309416
22,3,2,0.1755537857322502
22,3,3,1.0
23,0,0,1.0
23,0,1,0.14310172235437654
23,0,2,0.26836285626656853
23,0,3,-0.12089988164701067
23,1,0,0.14310172235437654
23,1,1,1.0
23,1,2,-0.25851546585984114
23,1,3,-0.0238655998215922
23,2,0,0.2683628562665686
23,2,1,-0.2585154658598411
23,2,2,1.0
23,2,3,0.0429924874626683
23,3,0,-0.12089988164701067
23,3,1,-0.0238655998215922
23,3,2,0.0429924874626683
23,3,3,1.0
24,0,0,1.0
24,0,1,0.4296907512674233
24,0,2,0.11597938396548856
24,0,3,0.20390935560120932
24,1,0,0.4296907512674233
24,1,1,1.0
24,1,2,-0.24005368228973525
24,1,3,0.6224643763963692
24,2,0,0.11597938396548857
24,2,1,-0.24005368228973525
24,2,2,1.0
24,2,3,-0.16501928033321858
24,3,0,0.20390935560120932
24,3,1,0.6224643763963692
24,3,2,-0.16501928033321858
24,3,3,0.9999999999999999
25,0,0,1.0
25,0,1,0.4399326434772428
25,0,2,0.22345587625357552
25,0,3,0.22333649551877688
25,1,0,0.43993264347724276
25,1,1,0.9999999999999998
25,1,2,0.24322059191253778
25,1,3,0.4475420509264589
25,2,0,0.22345587625357552
25,2,1,0.24322059191253778
25,2,2,1.0
25,2,3,0.4424120334731703
25,3,0,0.22333649551877688
25,3,1,0.4475420509264589
25,3,2,0.4424120334731703
25,3,3,1.0
26,0,0,1.0
26,0,1,-0.9268173010652982
26,0,2,-0.6519368491996468
26,0,3,-0.6738105513585786
26,1,0,-0.9268173010652982
26,1,1,0.9999999999999999
26,1,2,0.7075237385368338
26,1,3,0.8193493735033329
26,2,0,-0.6519368491996468
26,2,1,0.7075237385368338
26,2,2,1.0
26,2,3,0.7847141457846333
26,3,0,-0.6738105513585787
26,3,1,0.819349373503333
26,3,2,0.7847141457846334
26,3,3,1.0
27,0,0,1.0
27,0,1,-0.9173351956834247
27,0,2,-0.7893891188265549
27,0,3,-0.7201108743514244
27,1,0,-0.9173351956834246
27,1,1,1.0
27,1,2,0.7370971344605644
27,1,3,0.8354286904023204
27,2,0,-0.7893891188265549
27,2,1,0.7370971344605644
27,2,2,1.0
27,2,3,0.7859591438132235
27,3,0,-0.7201108743514244
27,3,1,0.8354286904023204
27,3,2,0.7859591438132235
27,3,3,1.0
28,0,0,1.0
28,0,1,-0.9372165410864949
28,0,2,-0.41094699960275904
28,0,3,-0.6703714213436178
28,1,0,-0.9372165410864949
28,1,1,1.0
28,1,2,0.3454501162198299
28,1,3,0.6774094095072234
28,2,0,-0.41094699960275904
28,2,1,0.34545011621982985
28,2,2,1.0
28,2,3,0.8931315880198005
28,3,0,-0.6703714213436178
28,3,1,0.6774094095072234
28,3,2,0.8931315880198005
28,3,3,1.0
29,0,0,1.0
29,0,1,-0.8713577521093291
29,0,2,-0.2854666495447839
29,0,3,-0.45426256506896623
29,1,0,-0.8713577521093291
29,1,1,1.0
29,1,2,0.35640760713247444
29,1,3,0.6725350835411051
29,2,0,-0.2854666495447839
29,2,1,0.3564076071324745
29,2,2,0.9999999999999998
29,2,3,0.8964548606720493
29,3,0,-0.45426256506896623
29,3,1,0.672535083541105
29,3,2,0.8964548606720494
29,3,3,0.9999999999999998
