Dependent,Independent,ADF Stat,p-value
log_oil_usd,log_gold_usd,-2.935358952771686,0.04138803779556962
log_oil_usd,log_usd_inr,-2.5719681731335293,0.0989303747206201
log_oil_usd,log_oil_inr,-2.7344239446738965,0.06826848916214528
log_oil_usd,log_gold_inr,-3.0039687948679643,0.03452542338718685
log_gold_usd,log_oil_usd,-1.9698101292738384,0.29996512359193994
log_gold_usd,log_usd_inr,-1.1205430721386396,0.706810428949017
log_gold_usd,log_oil_inr,-1.8729877636285055,0.34487324196869173
log_gold_usd,log_gold_inr,-2.6416634097527694,0.08468833100447087
log_usd_inr,log_oil_usd,-2.630400256964086,0.08687550288361551
log_usd_inr,log_gold_usd,-3.29921824820681,0.014913455003635242
log_usd_inr,log_oil_inr,-2.734423944673898,0.06826848916214509
log_usd_inr,log_gold_inr,-2.641663409752785,0.08468833100446782
log_oil_inr,log_oil_usd,-2.630400256964086,0.08687550288361551
log_oil_inr,log_gold_usd,-2.6187093645476964,0.08919174554040432
log_oil_inr,log_usd_inr,-2.571968173133528,0.09893037472062033
log_oil_inr,log_gold_inr,-2.8228996414088714,0.05507643661277095
log_gold_inr,log_oil_usd,-2.2664692588841326,0.18301039414776699
log_gold_inr,log_gold_usd,-3.2992182482068055,0.01491345500363541
log_gold_inr,log_usd_inr,-1.1205430721386456,0.7068104289490146
log_gold_inr,log_oil_inr,-2.2832136795962357,0.17743905972916418
