Date,inflation_india,inflation_usa
1988,0.06407018251907015,0.10683403338908914
1989,-0.28248415333578003,0.16868259945677044
1990,0.2375573936636457,0.11179466047413356
1991,0.4357229136892071,-0.24264562578584203
1992,-0.16267943903810878,-0.3352018206403282
1993,-0.6222576627341243,-0.025806302276609294
1994,0.48226739478423264,-0.12399718848595043
1995,-0.002251707352525667,0.0731836416629782
1996,-0.13014184826596376,0.04386017897038319
1997,-0.2255790450126791,-0.226250092852892
1998,0.613446715381079,-0.4094389982236732
1999,-1.0414297823453322,0.3432760772855656
2000,-0.1524700477816654,0.43394516108643055
2001,-0.05911357323685995,-0.17802264158931336
2002,0.12841549935189578,-0.577687769976367
2003,-0.12141076664672057,0.35858660503891077
2004,-0.010195967377011117,0.1649635088188296
2005,0.11971253520944236,0.23685469427883044
2006,0.31120003181847755,-0.050414220390047504
2007,0.09479337965179147,-0.12296938410074865
2008,0.2701220569720144,0.29698177369043655
2011,-0.29664658863430127,0.6548492934139702
2012,0.06170300318600841,-0.4223436298566229
2013,0.055292844228161275,-0.3454873866011056
2014,-0.4074028629465063,0.10205640919989861
2015,-0.30631113653494246,-2.615567436567997
2016,0.008369831739577505,2.364137464341269
2017,-0.39660355907716327,0.5238061786215771
2018,0.16845921056784086,0.13688258419847554
2019,-0.0546071136504811,-0.2985090710220263
2020,0.5743386714767369,-0.3846230616365652
2021,-0.25523440321302493,1.3371827691501186
2022,0.2665833753951996,0.5326846140287254
2023,-0.17045947220730984,-0.6648274316303371
2024,-0.1315032627885604,-0.33331981649627185
