Date,log_oil_usd_real,log_gold_usd_real,log_usd_inr_real,log_oil_inr_real,log_gold_inr_real,log_cpi_india,log_cpi_usa
1987,0.7445113937551475,3.9264992816212807,1.6856971959519162,2.4302085897070635,5.612196477573197,2.174879646542121,1.2987091515699085
1988,0.4630822997154559,3.8410931998193814,1.79992001080408,2.263002310519536,5.641013210623462,2.238949829061191,1.4055431849589977
1989,0.9466029129651607,3.987466915337217,2.404621490216857,3.3512244031820178,6.392088405554074,1.956465675725411,1.574225784415768
1990,0.9739804251053873,3.755230498172103,2.3541982564303128,3.3281786815357,6.109428754602416,2.194023069389057,1.6860204448899017
1991,0.3679842931383999,3.2624036258747395,1.9377543243481856,2.3057386174865853,5.200157950222925,2.629745983078264,1.4433748191040596
1992,0.4940742847442169,3.372798649172255,1.8961213259076506,2.390195610651867,5.268919975079905,2.467066544040155,1.1081729984637314
1993,0.9889925251017397,4.0406560570787615,2.6549565758812546,3.6439491009829945,6.695612632960016,1.8448088813060308,1.0823666961871221
1994,0.43672394011643834,3.6235975260091924,2.077145253813495,2.513869193929933,5.700742779822687,2.3270762760902635,0.9583695077011717
1995,0.5095645544074904,3.626244976009194,2.1858125009456386,2.6953770553531293,5.812057476954833,2.324824568737738,1.0315531493641499
1996,0.8325482201415882,3.7655388068962763,2.44828952674014,3.280837746881728,6.213828333636417,2.194682720471774,1.075413328334533
1997,0.9811080827930867,3.833304688078817,2.4721527454487906,3.453260828241877,6.305457433527607,1.969103675459095,0.8491632354816411
1998,-0.036235112923529975,3.101576845657535,1.5770673540608997,1.5408322411373698,4.678644199718435,2.582550390840174,0.4397242372579679
1999,1.3436801043518676,4.089259286185708,3.0044741979849086,4.348154302336776,7.093733484170617,1.5411206084948417,0.7830003145435335
2000,1.9668518616868496,4.242675909871683,3.633623181673971,5.60047504336082,7.876299091545654,1.3886505607131763,1.216945475629964
2001,1.86750214278271,4.272541242173667,3.5635678523026306,5.43106999508534,7.836109094476298,1.3295369874763163,1.0389228340406507
2002,1.7605232580186487,4.278529483991004,2.8871118482934355,4.647635106312085,7.16564133228444,1.457952486828212,0.4612350640642838
2003,2.025568272772617,4.559262335770308,3.324451213377898,5.350019486150515,7.883713549148206,1.3365417201814915,0.8198216691031945
2004,2.3180592112076264,4.687887606356203,3.4721878612773494,5.790247072484976,8.160075467633552,1.3263457528044804,0.9847851779220241
2005,2.553425993184218,4.6516631229118195,3.562041366639732,6.11546735982395,8.213704489551553,1.4460582880139228,1.2216398722008546
2006,2.419587463901444,4.646872014820447,3.2274950906574538,5.647082554558898,7.8743671054779005,1.7572583198324003,1.171225651810807
2007,2.4307069335310207,4.694331908900293,2.918276989695567,5.348983923226588,7.61260889859586,1.8520516994841918,1.0482562677100584
2008,2.451918473961024,4.64827960181473,2.9960550816768774,5.447973555637901,7.644334683491608,2.122173756456206,1.345238041400495
2009,1.735789538051911,4.493206657079573,,,,2.3871424810221025,
2010,1.8931176277222208,4.626399714263069,1.8334551830391046,3.726572810761325,6.459854897302174,2.4840220853782657,0.49472273074740686
2011,2.5244943079031827,5.170952727508235,2.805298087379137,5.329792395282319,7.976250814887371,2.1873754967439645,1.1495720241613772
2012,2.466111331096668,5.171211741066774,2.4567094236031717,4.92282075469984,7.627921164669945,2.249078499929973,0.7272283943047543
2013,2.3829316713684796,4.948009981458526,2.1128484729005788,4.495780144269059,7.060858454359105,2.304371344158134,0.38174100770364866
2014,2.697848292696972,5.246315732591256,2.7192717865126785,5.417120079209651,7.965587519103934,1.8969684812116279,0.4837974169035473
2015,2.366721362472258,5.466089327874386,0.4202310581595164,2.786952420631774,5.886320386033902,1.5906573446766854,-2.1317700196644496
2016,2.176946984548607,5.531061725977012,2.8299405311870043,5.006887515735611,8.361002257164015,1.599027176416263,0.2323674446768192
2017,2.788964943469787,5.934504202023223,3.770164697402171,6.559129640871959,9.704668899425393,1.2024236173390996,0.7561736232983963
2018,2.896574352023805,5.775280504818816,3.771953510102165,6.66852786212597,9.54723401492098,1.3708828279069405,0.8930562074968719
2019,2.8472839169871142,5.922578821278239,3.5323226298384265,6.379606546825541,9.454901451116665,1.3162757142564594,0.5945471364748456
2020,1.8461023977949003,5.588263932363992,2.655030570902454,4.5011329686973545,8.243294503266446,1.8906143857331963,0.2099240748382804
2021,2.6253261169171545,5.859955829009159,4.2234651430239305,6.848791259941085,10.08342097203309,1.6353799825201714,1.547106843988399
2022,2.712463849335397,5.593912974499252,4.5765889337668,7.289052783102197,10.170501908266052,1.901963357915371,2.0797914580171244
2023,2.681173188164579,5.8403126497679665,4.089447412797451,6.7706206009620304,9.929760062565418,1.7315038857080611,1.4149640263867873
2024,2.78850497785209,6.178086053186229,3.922292840790658,6.710797818642749,10.100378893976888,1.6000006229195007,1.0816442098905155
