Date,log_oil_usd_real_ret,log_gold_usd_real_ret,log_usd_inr_real_ret,log_oil_inr_real_ret,log_gold_inr_real_ret
1988,-0.28142909403969163,-0.08540608180189935,0.11422281485216379,-0.1672062791875275,0.028816733050264887
1989,0.48352061324970486,0.14637371551783573,0.604701479412777,1.0882220926624817,0.7510751949306123
1990,0.027377512140226545,-0.2322364171651139,-0.05042323378654423,-0.023045721646317574,-0.2826596509516577
1991,-0.6059961319669873,-0.49282687229736366,-0.41644393208212716,-1.022440064049115,-0.9092708043794913
1992,0.12608999160581696,0.1103950232975155,-0.04163299844053503,0.08445699316528188,0.06876202485698002
1993,0.49491824035752285,0.6678574079065065,0.758835249973604,1.2537534903311274,1.4266926578801105
1994,-0.5522685849853014,-0.41705853106956914,-0.5778113220677596,-1.1300799070530614,-0.9948698531373283
1995,0.07284061429105204,0.002647450000001772,0.10866724713214371,0.1815078614231962,0.11131469713214592
1996,0.32298366573409787,0.13929383088708214,0.2624770257945013,0.5854606915285987,0.4017708566815834
1997,0.14855986265149845,0.06776588118254079,0.023863218708650713,0.17242308136014906,0.09162909989119061
1998,-1.0173431957166166,-0.7317278424212819,-0.8950853913878909,-1.9124285871045072,-1.6268132338091723
1999,1.3799152172753975,0.987682440528173,1.4274068439240089,2.8073220611994065,2.415089284452182
2000,0.623171757334982,0.15341662368597486,0.6291489836890625,1.252320741024044,0.7825656073750373
2001,-0.09934971890413946,0.029865332301984182,-0.0700553293713404,-0.16940504827547986,-0.040189997069355776
2002,-0.10697888476406137,0.005988241817337148,-0.6764560040091951,-0.7834348887732556,-0.6704677621918584
2003,0.26504501475396847,0.2807328517793035,0.43733936508446236,0.7023843798384304,0.7180722168637663
2004,0.2924909384350092,0.12862527058589546,0.1477366478994515,0.44022758633446113,0.2763619184853461
2005,0.23536678197659144,-0.03622448344438389,0.08985350536238279,0.3252202873389738,0.053629021918000674
2006,-0.13383852928277395,-0.004791108091372287,-0.3345462759822784,-0.46838480526505233,-0.33933738407365244
2007,0.011119469629576884,0.04745989407984563,-0.30921810096188684,-0.2980986313323095,-0.26175820688204077
2008,0.021211540430003062,-0.04605230708556274,0.07777809198131047,0.09898963241131309,0.03172578489574818
2011,0.6313766801809619,0.5445530132451655,0.9718429043400323,1.603219584520994,1.5163959175851973
2012,-0.05838297680651472,0.00025901355853896746,-0.3485886637759652,-0.40697164058247903,-0.34832965021742623
2013,-0.08317965972818842,-0.22320175960824784,-0.3438609507025929,-0.42704061043078134,-0.5670627103108403
2014,0.3149166213284924,0.2983057511327303,0.6064233136120998,0.9213399349405922,0.9047290647448296
2015,-0.33112693022471396,0.21977359528312945,-2.299040728353162,-2.630167658577877,-2.079267133070032
2016,-0.18977437792365093,0.06497239810262645,2.4097094730274877,2.2199350951038372,2.4746818711301133
2017,0.61201795892118,0.40344247604621053,0.9402241662151667,1.5522421251363472,1.3436666422613772
2018,0.1076094085540178,-0.159223697204407,0.0017888126999938692,0.10939822125401122,-0.15743488450441312
2019,-0.04929043503669073,0.14729831645942326,-0.23963088026373836,-0.28892131530042864,-0.0923325638043142
2020,-1.001181519192214,-0.3343148889142471,-0.8772920589359723,-1.8784735781281867,-1.2116069478502194
2021,0.7792237191222542,0.2716918966451676,1.5684345721214763,2.3476582912437305,1.8401264687666448
2022,0.08713773241824274,-0.26604285450990695,0.3531237907428695,0.4402615231611122,0.08708093623296165
2023,-0.03129066117081836,0.2463996752687141,-0.4871415209693488,-0.5184321821401667,-0.24074184570063473
2024,0.10733178968751123,0.3377734034182627,-0.16715457200679307,-0.05982278231928184,0.1706188314114705
